setup_ts,exit_ts,trade_date_ct,hour_ct,minute_ct,symbol,entry,stop,target,exit_price,outcome,pnl,bars_held,mae,mfe,or_range_30m,premarket_range,prior_day_range,avg_spread,rel_vol_20,atr_14,atr_50,equity,drawdown,year,month
2018-03-28T14:32:00.000000,2018-03-28T14:40:00.000000,2018-03-28,8,32,NQM8,6484.75,6464.75,6504.75,6464.75,LOSS,-20.0,8,20.0,10.0,92.0,115.25,313.0,0.0,0.8842954990215264,14.928571428571429,15.605,-20.0,20.0,2018,3
2018-03-28T15:10:00.000000,2018-03-28T15:15:00.000000,2018-03-28,9,10,NQM8,6483.5,6463.5,6503.5,6463.5,LOSS,-20.0,5,26.0,9.5,92.0,115.25,313.0,0.0,1.162751556827198,13.428571428571429,14.365,-40.0,40.0,2018,3
2020-03-16T14:31:00.000000,2020-03-16T14:32:00.000000,2020-03-16,8,31,NQM0,7294.75,7274.75,7314.75,7314.75,WIN,20.0,1,10.5,24.25,205.5,511.25,679.0,0.0,0.9714826058826457,29.803571428571427,40.675,-20.0,20.0,2020,3
2020-04-28T14:38:00.000000,2020-04-28T14:43:00.000000,2020-04-28,8,38,NQM0,8780.75,8760.75,8800.75,8760.75,LOSS,-20.0,5,28.5,11.25,106.0,173.0,74.5,0.0,0.5701940784813713,8.303571428571429,9.94,-40.0,40.0,2020,4
2020-05-14T14:36:00.000000,2020-05-14T15:36:00.000000,2020-05-14,8,36,NQM0,8876.0,8856.0,8896.0,8959.25,TIME_WIN,83.25,60,0.0,0.0,83.25,125.0,324.5,0.0,1.070514599327845,14.357142857142858,14.595,43.25,0.0,2020,5
2020-05-14T14:37:00.000000,2020-05-14T15:37:00.000000,2020-05-14,8,37,NQM0,8870.25,8850.25,8890.25,8953.25,TIME_WIN,83.0,60,0.0,0.0,83.25,125.0,324.5,0.0,0.8254519519985115,13.964285714285714,14.44,126.25,0.0,2020,5
2020-05-14T14:46:00.000000,2020-05-14T15:46:00.000000,2020-05-14,8,46,NQM0,8868.75,8848.75,8888.75,8920.25,TIME_WIN,51.5,60,0.0,0.0,83.25,125.0,324.5,0.0,0.75883509929573,13.660714285714286,14.25,177.75,0.0,2020,5
2020-05-14T14:47:00.000000,2020-05-14T15:47:00.000000,2020-05-14,8,47,NQM0,8876.75,8856.75,8896.75,8916.75,TIME_WIN,40.0,60,0.0,0.0,83.25,125.0,324.5,0.0,1.1166911007829314,14.267857142857142,14.325,217.75,0.0,2020,5
2020-07-14T14:53:00.000000,2020-07-14T14:55:00.000000,2020-07-14,8,53,NQU0,10554.5,10534.5,10574.5,10554.5,BREAKEVEN,0.0,2,11.5,16.25,107.25,270.5,497.0,0.0,0.9423813734158561,20.142857142857142,22.945,217.75,0.0,2020,7
2020-07-14T14:54:00.000000,2020-07-14T14:56:00.000000,2020-07-14,8,54,NQU0,10559.25,10539.25,10579.25,10539.25,LOSS,-20.0,2,42.25,11.5,107.25,270.5,497.0,0.0,0.8661344397725379,19.0,22.79,197.75,20.0,2020,7
2020-09-16T14:50:00.000000,2020-09-16T15:50:00.000000,2020-09-16,8,50,NQZ0,11341.0,11321.0,11361.0,11398.25,TIME_WIN,57.25,60,0.0,0.0,82.25,92.25,131.75,0.0,0.7327221677209838,12.339285714285714,13.02,255.0,0.0,2020,9
2020-09-24T14:35:00.000000,2020-09-24T14:38:00.000000,2020-09-24,8,35,NQZ0,10786.0,10766.0,10806.0,10806.0,WIN,20.0,3,12.0,21.0,121.0,276.75,316.25,0.0,1.1112991959373677,17.321428571428573,21.755,275.0,0.0,2020,9
2020-09-24T14:38:00.000000,2020-09-24T15:38:00.000000,2020-09-24,8,38,NQZ0,10777.5,10757.5,10797.5,10939.25,TIME_WIN,161.75,60,0.0,0.0,121.0,276.75,316.25,0.0,1.3231786416705027,17.785714285714285,21.52,436.75,0.0,2020,9
2020-09-24T14:39:00.000000,2020-09-24T15:39:00.000000,2020-09-24,8,39,NQZ0,10777.25,10757.25,10797.25,10931.25,TIME_WIN,154.0,60,0.0,0.0,121.0,276.75,316.25,0.0,0.6429600745952361,17.946428571428573,21.565,590.75,0.0,2020,9
2020-09-24T14:40:00.000000,2020-09-24T14:44:00.000000,2020-09-24,8,40,NQZ0,10800.25,10780.25,10820.25,10800.25,BREAKEVEN,0.0,4,10.25,15.0,121.0,276.75,316.25,0.0,0.8627450980392157,19.071428571428573,21.415,590.75,0.0,2020,9
2021-01-06T15:09:00.000000,2021-01-06T16:09:00.000000,2021-01-06,9,9,NQH1,12656.0,12636.0,12676.0,12756.75,TIME_WIN,100.75,60,0.0,0.0,116.75,87.75,151.75,0.0,1.0127950982158946,15.196428571428571,17.6,691.5,0.0,2021,1
2021-03-19T14:37:00.000000,2021-03-19T15:25:00.000000,2021-03-19,8,37,NQM1,12761.75,12741.75,12781.75,12781.75,WIN,20.0,48,4.25,26.25,111.25,161.25,246.5,0.0,1.009491229835329,15.375,17.225,711.5,0.0,2021,3
2021-03-24T14:48:00.000000,2021-03-24T14:54:00.000000,2021-03-24,8,48,NQM1,12972.5,12952.5,12992.5,12992.5,WIN,20.0,6,8.25,28.0,88.5,175.5,193.0,0.0,1.2013303049967554,11.732142857142858,14.7,731.5,0.0,2021,3
2021-03-24T14:53:00.000000,2021-03-24T15:53:00.000000,2021-03-24,8,53,NQM1,12981.25,12961.25,13001.25,12973.5,TIME_LOSS,-7.75,60,12.75,6.5,88.5,175.5,193.0,0.0,1.2636892539356606,11.464285714285714,14.135,723.75,7.75,2021,3
2021-06-01T14:45:00.000000,2021-06-01T14:51:00.000000,2021-06-01,8,45,NQM1,13642.75,13622.75,13662.75,13622.75,LOSS,-20.0,6,30.25,11.75,84.75,144.25,23.0,0.0,1.6844724760801477,8.339285714285714,9.665,703.75,27.75,2021,6
2021-06-03T15:06:00.000000,2021-06-03T15:16:00.000000,2021-06-03,9,6,NQM1,13597.5,13577.5,13617.5,13577.5,LOSS,-20.0,10,25.5,6.25,98.75,107.5,109.5,0.0,0.8249532793450208,10.732142857142858,11.46,683.75,47.75,2021,6
2021-06-03T15:07:00.000000,2021-06-03T15:16:00.000000,2021-06-03,9,7,NQM1,13598.0,13578.0,13618.0,13578.0,LOSS,-20.0,9,26.0,5.75,98.75,107.5,109.5,0.0,0.664326098850994,10.607142857142858,11.335,663.75,67.75,2021,6
2021-10-08T15:13:00.000000,2021-10-08T15:33:00.000000,2021-10-08,9,13,NQZ1,14860.5,14840.5,14880.5,14840.5,LOSS,-20.0,20,21.75,11.75,86.75,127.25,132.75,0.0,1.255762677891361,9.303571428571429,11.4,643.75,87.75,2021,10
2021-10-08T15:14:00.000000,2021-10-08T15:33:00.000000,2021-10-08,9,14,NQZ1,14860.0,14840.0,14880.0,14840.0,LOSS,-20.0,19,21.25,12.25,86.75,127.25,132.75,0.0,1.0844329794622483,8.982142857142858,11.385,623.75,107.75,2021,10
2022-01-28T15:11:00.000000,2022-01-28T15:12:00.000000,2022-01-28,9,11,NQH2,13956.25,13936.25,13976.25,13956.25,BREAKEVEN,0.0,1,3.25,16.0,235.25,211.75,464.25,0.0,1.2783935583279487,30.75,30.835,623.75,107.75,2022,1
2022-01-28T15:15:00.000000,2022-01-28T15:16:00.000000,2022-01-28,9,15,NQH2,13961.5,13941.5,13981.5,13981.5,WIN,20.0,1,2.25,32.0,235.25,211.75,464.25,0.0,1.3840656298756857,30.964285714285715,32.015,643.75,87.75,2022,1
2022-02-16T15:09:00.000000,2022-02-16T15:10:00.000000,2022-02-16,9,9,NQH2,14420.75,14400.75,14440.75,14420.75,BREAKEVEN,0.0,1,3.5,19.25,136.0,111.5,187.25,0.0,0.32446589228120376,16.910714285714285,17.805,643.75,87.75,2022,2
2022-02-16T15:12:00.000000,2022-02-16T15:15:00.000000,2022-02-16,9,12,NQH2,14424.0,14404.0,14444.0,14404.0,LOSS,-20.0,3,25.5,7.5,136.0,111.5,187.25,0.0,1.0067366351519358,18.303571428571427,18.52,623.75,107.75,2022,2
2022-03-23T14:30:00.000000,2022-03-23T14:42:00.000000,2022-03-23,8,30,NQM2,14565.25,14545.25,14585.25,14585.25,WIN,20.0,12,13.25,25.0,81.5,134.75,119.75,0.0,0.7756906733137482,16.232142857142858,19.42,643.75,87.75,2022,3
2022-03-24T14:30:00.000000,2022-03-24T15:30:00.000000,2022-03-24,8,30,NQM2,14431.75,14411.75,14451.75,14634.0,TIME_WIN,202.25,60,0.0,0.0,112.75,111.0,241.25,0.0,1.9081689790331613,18.25,20.61,846.0,0.0,2022,3
2022-05-06T14:40:00.000000,2022-05-06T14:41:00.000000,2022-05-06,8,40,NQM2,12710.75,12690.75,12730.75,12710.75,BREAKEVEN,0.0,1,17.75,18.25,232.25,321.5,323.0,0.0,1.4113467135351703,37.57142857142857,38.915,846.0,0.0,2022,5
2022-05-06T14:41:00.000000,2022-05-06T14:42:00.000000,2022-05-06,8,41,NQM2,12703.25,12683.25,12723.25,12683.25,LOSS,-20.0,1,20.75,11.25,232.25,321.5,323.0,0.0,0.7689940373148683,37.607142857142854,38.945,826.0,20.0,2022,5
2022-05-06T14:43:00.000000,2022-05-06T14:44:00.000000,2022-05-06,8,43,NQM2,12697.25,12677.25,12717.25,12717.25,WIN,20.0,1,0.5,21.25,232.25,321.5,323.0,0.0,0.6502434233895401,36.160714285714285,38.925,846.0,0.0,2022,5
2022-05-06T14:45:00.000000,2022-05-06T15:10:00.000000,2022-05-06,8,45,NQM2,12763.25,12743.25,12783.25,12783.25,WIN,20.0,25,8.25,50.5,232.25,321.5,323.0,0.0,1.897025641025641,38.857142857142854,39.965,866.0,0.0,2022,5
2022-05-12T14:34:00.000000,2022-05-12T14:35:00.000000,2022-05-12,8,34,NQM2,11935.5,11915.5,11955.5,11955.5,WIN,20.0,1,7.25,28.0,171.0,352.75,476.0,0.0,0.8401743980517695,38.232142857142854,42.01,886.0,0.0,2022,5
2022-05-12T14:35:00.000000,2022-05-12T14:36:00.000000,2022-05-12,8,35,NQM2,11929.25,11909.25,11949.25,11949.25,WIN,20.0,1,1.25,33.5,171.0,352.75,476.0,0.0,0.7064266318012672,36.75,41.945,906.0,0.0,2022,5
2022-05-12T14:36:00.000000,2022-05-12T14:37:00.000000,2022-05-12,8,36,NQM2,11938.75,11918.75,11958.75,11958.75,WIN,20.0,1,21.75,20.75,171.0,352.75,476.0,0.0,0.6650899155894466,37.285714285714285,41.49,926.0,0.0,2022,5
