date,entry_time,side,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae,major_sweep_count,elite_sweep_confluence,below_dol,below_vwap,year,month
2018-01-10,2018-01-10 08:31:00,short,6649.5,6663.5,6621.5,6663.5,loss,14.0,-14.0,-1.0,0.5,-17.0,1,False,True,True,2018,2018-01
2018-01-15,2018-01-15 10:27:00,short,6780.0,6782.25,6775.5,6775.5,win,2.25,4.5,2.0,4.5,-0.5,1,False,True,True,2018,2018-01
2018-01-25,2018-01-25 08:56:00,short,6933.25,6946.75,6906.25,6946.75,loss,13.5,-13.5,-1.0,17.0,-13.75,1,False,True,True,2018,2018-01
2018-03-02,2018-03-02 08:35:00,short,6691.5,6705.0,6664.5,6664.5,win,13.5,27.0,2.0,27.0,-8.0,1,False,True,True,2018,2018-03
2018-03-02,2018-03-02 08:37:00,short,6683.0,6700.5,6648.0,6648.0,win,17.5,35.0,2.0,37.0,-5.5,1,False,True,True,2018,2018-03
2018-03-12,2018-03-12 09:25:00,short,7141.5,7146.5,7131.5,7146.5,loss,5.0,-5.0,-1.0,6.25,-5.0,1,False,True,True,2018,2018-03
2018-03-14,2018-03-14 09:19:00,short,7065.5,7072.5,7051.5,7072.5,loss,7.0,-7.0,-1.0,9.25,-7.0,1,False,True,True,2018,2018-03
2018-12-10,2018-12-10 09:40:00,short,6592.25,6611.0,6554.75,6611.0,loss,18.75,-18.75,-1.0,13.0,-21.25,1,False,True,True,2018,2018-12
2018-12-24,2018-12-24 08:36:00,short,6030.75,6067.75,5956.75,5956.75,win,37.0,74.0,2.0,77.5,-9.5,1,False,True,True,2018,2018-12
2019-02-08,2019-02-08 08:46:00,short,6854.75,6867.0,6830.25,6867.0,loss,12.25,-12.25,-1.0,13.25,-14.25,1,False,True,True,2019,2019-02
2019-02-11,2019-02-11 10:09:00,short,6913.75,6927.75,6885.75,6927.75,loss,14.0,-14.0,-1.0,4.25,-14.25,1,False,True,True,2019,2019-02
2019-03-28,2019-03-28 09:23:00,short,7316.0,7327.25,7293.5,7327.25,loss,11.25,-11.25,-1.0,14.5,-11.75,1,False,True,True,2019,2019-03
2019-05-20,2019-05-20 08:45:00,short,7418.75,7430.5,7395.25,7430.5,loss,11.75,-11.75,-1.0,12.75,-15.25,1,False,True,True,2019,2019-05
2019-06-20,2019-06-20 10:19:00,short,7713.75,7721.0,7699.25,7721.0,loss,7.25,-7.25,-1.0,7.25,-11.0,1,False,True,True,2019,2019-06
2019-07-18,2019-07-18 09:07:00,short,7874.25,7880.0,7862.75,7862.75,win,5.75,11.5,2.0,13.25,-1.75,1,False,True,True,2019,2019-07
2019-12-27,2019-12-27 09:33:00,short,8800.25,8807.5,8785.75,8807.5,loss,7.25,-7.25,-1.0,0.75,-10.75,1,False,True,True,2019,2019-12
2020-01-17,2020-01-17 10:14:00,short,9134.25,9141.5,9119.75,9141.5,loss,7.25,-7.25,-1.0,4.25,-7.5,1,False,True,True,2020,2020-01
2020-01-20,2020-01-20 09:33:00,short,9167.75,9170.5,9162.25,9162.25,win,2.75,5.5,2.0,6.5,-0.75,1,False,True,True,2020,2020-01
2020-01-20,2020-01-20 09:34:00,short,9166.5,9169.5,9160.5,9169.5,loss,3.0,-3.0,-1.0,5.25,-4.25,1,False,True,True,2020,2020-01
2020-01-24,2020-01-24 09:19:00,short,9248.75,9255.75,9234.75,9234.75,win,7.0,14.0,2.0,16.25,-2.5,1,False,True,True,2020,2020-01
2020-02-05,2020-02-05 09:27:00,short,9357.0,9374.25,9322.5,9322.5,win,17.25,34.5,2.0,39.25,0.0,2,True,True,True,2020,2020-02
2020-06-16,2020-06-16 09:01:00,short,9798.0,9832.25,9729.5,9832.25,loss,34.25,-34.25,-1.0,11.5,-47.5,1,False,True,True,2020,2020-06
2020-08-24,2020-08-24 08:47:00,short,11583.75,11595.0,11561.25,11561.25,win,11.25,22.5,2.0,40.0,-4.5,1,False,True,True,2020,2020-08
2020-08-31,2020-08-31 09:27:00,short,12024.0,12046.25,11979.5,12046.25,loss,22.25,-22.25,-1.0,7.75,-25.75,1,False,True,True,2020,2020-08
2020-11-09,2020-11-09 08:35:00,short,12092.75,12125.25,12027.75,12125.25,loss,32.5,-32.5,-1.0,21.0,-47.75,1,False,True,True,2020,2020-11
2020-11-25,2020-11-25 09:05:00,short,12092.5,12109.25,12059.0,12109.25,loss,16.75,-16.75,-1.0,14.25,-17.5,1,False,True,True,2020,2020-11
2020-12-03,2020-12-03 10:09:00,short,12470.5,12480.0,12451.5,12451.5,win,9.5,19.0,2.0,22.0,-1.0,1,False,True,True,2020,2020-12
2020-12-11,2020-12-11 08:41:00,short,12315.5,12336.0,12274.5,12336.0,loss,20.5,-20.5,-1.0,40.75,-23.25,1,False,True,True,2020,2020-12
2020-12-21,2020-12-21 09:03:00,short,12568.5,12595.75,12514.0,12514.0,win,27.25,54.5,2.0,56.5,0.0,1,False,True,True,2020,2020-12
2020-12-29,2020-12-29 09:02:00,short,12844.5,12862.25,12809.0,12862.25,loss,17.75,-17.75,-1.0,5.25,-22.0,1,False,True,True,2020,2020-12
2021-01-04,2021-01-04 09:12:00,short,12854.0,12868.5,12825.0,12868.5,loss,14.5,-14.5,-1.0,7.5,-15.25,1,False,True,True,2021,2021-01
2021-01-04,2021-01-04 09:46:00,short,12830.25,12868.5,12753.75,12753.75,win,38.25,76.5,2.0,77.0,-7.0,1,False,True,True,2021,2021-01
2021-01-22,2021-01-22 09:29:00,short,13340.0,13352.25,13315.5,13352.25,loss,12.25,-12.25,-1.0,4.0,-21.0,1,False,True,True,2021,2021-01
2021-01-25,2021-01-25 09:59:00,short,13367.25,13405.25,13291.25,13291.25,win,38.0,76.0,2.0,101.75,-19.0,1,False,True,True,2021,2021-01
2021-02-03,2021-02-03 08:32:00,short,13495.0,13523.75,13437.5,13523.75,loss,28.75,-28.75,-1.0,33.5,-33.0,1,False,True,True,2021,2021-02
2021-02-03,2021-02-03 08:37:00,short,13497.5,13514.0,13464.5,13464.5,win,16.5,33.0,2.0,34.5,-4.0,1,False,True,True,2021,2021-02
2021-03-10,2021-03-10 10:23:00,short,12797.5,12829.25,12734.0,12829.25,loss,31.75,-31.75,-1.0,8.75,-45.75,1,False,True,True,2021,2021-03
2021-05-03,2021-05-03 08:52:00,short,13871.75,13892.5,13830.25,13830.25,win,20.75,41.5,2.0,68.75,-2.0,1,False,True,True,2021,2021-05
2021-12-09,2021-12-09 08:56:00,short,16338.0,16364.5,16285.0,16364.5,loss,26.5,-26.5,-1.0,16.25,-28.0,1,False,True,True,2021,2021-12
2021-12-09,2021-12-09 09:08:00,short,16319.75,16348.0,16263.25,16348.0,loss,28.25,-28.25,-1.0,8.5,-28.25,1,False,True,True,2021,2021-12
2021-12-16,2021-12-16 08:34:00,short,16287.75,16320.25,16222.75,16320.25,loss,32.5,-32.5,-1.0,2.25,-54.25,1,False,True,True,2021,2021-12
